REGLAS DE GOBIERNO DE DATOS;;;;;;;;;;;;
;;;;;;;;;;;;
Ejemplo:;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente principal de clasificación:;k_sc_codigo_fuente;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Fuente técnica de soporte:;ka_ni_fuente;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
NA:;obsoleto / excluido;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ARKETOPS:;control fiscal histórico;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ka_ni_fuente;sc_nombre_fuente;k_sc_codigo_fuente;CLASIFICACION CASTILLITOS;;UNIDAD;TIPO;IMPACTA VENTAS;IMPACTA COBROS;VISIBLE;ACTIVO;HISTORIAL;OBSERVACION
;RECIBO DE CAJA CENTRO;RC;;;;;;;;;;RECIBO DE CAJA QUE SE GENERA AL RECIBIR ABONOS DE SISTECREDITO EN LAS TIENDAS SIRVE CONMO INFORMATIVO, AFECTA EL EFECTIVO DE LAS TIENDAS EN ELK MOMENTO DEL RECAUDO Y SE CONCILIA A FIN DE MES CON SISTECREDITO
200;NOTA CREDITO ELECTRÓNICA SANDI;NS;OFICIAL;NOTA CREDITO SAN DIEGO;;;SI;NO;;;;NOTAS CREDITO DE ALMACEN DEV CLIENTES
202;NOTA CREDITO ELECTRÓNICA CENTR;NT;OFICIAL;NOTA CREDITO CENTRO;;;SI;NO;;;;NOTAS CREDITO DE ALMACEN DEV CLIENTES
207;FACTURA ELECTRÓNICA WEB;FW;OFICIAL;FACTURA PAGINA WEB;;;SI;NO;;;;
208;NOTA CREDITO ELECTRONICA PAGNA;NW;OFICIAL;NOTAS PAGINAS WEB;;;SI;NO;;;;
76;AJUSTE DE INVENTARIO;AI;PARA AJUSTES DE INVENTARIOS ;;;;NO;NO;;;;AFECTA DIRECTAMENTE EL INVENTARIO
65;INVENTARIO FISICO;IF;PARA DIGITACION DE LOS INVENTARIOS MES A MES;;;;NO;NO;;;;AFECTA DIRECTAMENTE EL INVENTARIO
33;ORDEN DE PRODUCCIÓN;OP;PRODUCCION;;;;;;;;;FUENTE QUE SOLO USA PRODUCCION, SE DEBE CLASIFICAR Y TENER EN CUENTA EN EL MODULO DE PRODUCCION
80;CONSUMOS INSUMOS Y TELAS;CN;PRODUCCION;;;;;;;;;FUENTE QUE SOLO USA PRODUCCION, SE DEBE CLASIFICAR Y TENER EN CUENTA EN EL MODULO DE PRODUCCION
81;ENTRADA PT;PT;PRODUCCION;;;;;;;;;FUENTE QUE SOLO USA PRODUCCION, SE DEBE CLASIFICAR Y TENER EN CUENTA EN EL MODULO DE PRODUCCION
